Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,asymmetric,0.61,-7.375230447240657
100% Corpus,8,asymmetric,0.9099999999999999,-6.621187602751018
100% Corpus,8,asymmetric,symmetric,-4.822065399580136
100% Corpus,9,0.01,0.01,-2.0773057685989507
100% Corpus,9,0.01,0.31,-7.201606528577961
100% Corpus,9,0.01,0.61,-5.280863022896137
100% Corpus,9,0.01,0.9099999999999999,-3.506591222941615
100% Corpus,9,0.01,symmetric,-3.9430625329956643
100% Corpus,9,0.31,0.01,-1.8978640377483111
100% Corpus,9,0.31,0.31,-5.930420367716291
100% Corpus,9,0.31,0.61,-7.995856983629285
100% Corpus,9,0.31,0.9099999999999999,-3.636057653832157
100% Corpus,9,0.31,symmetric,-4.3459962478235905
100% Corpus,9,0.61,0.01,-1.5527815514483345
100% Corpus,9,0.61,0.31,-4.958755944317474
100% Corpus,9,0.61,0.61,-7.609009596265985
100% Corpus,9,0.61,0.9099999999999999,-7.044691231468502
100% Corpus,9,0.61,symmetric,-2.925557055416044
100% Corpus,9,0.9099999999999999,0.01,-1.399100056750178
100% Corpus,9,0.9099999999999999,0.31,-3.7651872136896594
100% Corpus,9,0.9099999999999999,0.61,-6.91338058290233
100% Corpus,9,0.9099999999999999,0.9099999999999999,-8.28998008233949
100% Corpus,9,0.9099999999999999,symmetric,-2.556483389795286
100% Corpus,9,symmetric,0.01,-2.0736688604123934
100% Corpus,9,symmetric,0.31,-7.292495777907664
100% Corpus,9,symmetric,0.61,-5.3823838168037375
100% Corpus,9,symmetric,0.9099999999999999,-3.7604775685902334
100% Corpus,9,symmetric,symmetric,-4.069750053044935
100% Corpus,9,asymmetric,0.01,-2.3268505876466157
100% Corpus,9,asymmetric,0.31,-8.421191591323208
100% Corpus,9,asymmetric,0.61,-8.171574790524797
100% Corpus,9,asymmetric,0.9099999999999999,-7.58120694028158
100% Corpus,9,asymmetric,symmetric,-5.210325857099826
100% Corpus,10,0.01,0.01,-2.117750515228983
100% Corpus,10,0.01,0.31,-6.986042628151196
100% Corpus,10,0.01,0.61,-4.657062923729396
100% Corpus,10,0.01,0.9099999999999999,-4.250983345032791
100% Corpus,10,0.01,symmetric,-4.6781490370532115
100% Corpus,10,0.31,0.01,-2.0701265284875676
100% Corpus,10,0.31,0.31,-6.769855598195555
100% Corpus,10,0.31,0.61,-6.916267016468465
100% Corpus,10,0.31,0.9099999999999999,-7.288135105568474
100% Corpus,10,0.31,symmetric,-4.85676152881214
100% Corpus,10,0.61,0.01,-1.737709737929158
100% Corpus,10,0.61,0.31,-5.348390843640893
100% Corpus,10,0.61,0.61,-8.371632059207379
100% Corpus,10,0.61,0.9099999999999999,-7.068132913318037
100% Corpus,10,0.61,symmetric,-3.421732764309339
100% Corpus,10,0.9099999999999999,0.01,-1.587920997583278
100% Corpus,10,0.9099999999999999,0.31,-4.203012509388635
100% Corpus,10,0.9099999999999999,0.61,-6.250327943676467
100% Corpus,10,0.9099999999999999,0.9099999999999999,-7.462352715919451
100% Corpus,10,0.9099999999999999,symmetric,-2.2386195983199797
100% Corpus,10,symmetric,0.01,-2.1761604001704966
100% Corpus,10,symmetric,0.31,-7.369925890542367
100% Corpus,10,symmetric,0.61,-4.529962867748592
100% Corpus,10,symmetric,0.9099999999999999,-5.810276117458373
100% Corpus,10,symmetric,symmetric,-4.678171141141782
100% Corpus,10,asymmetric,0.01,-2.5625793312552068
100% Corpus,10,asymmetric,0.31,-9.996613879094863
100% Corpus,10,asymmetric,0.61,-7.713734326121968
100% Corpus,10,asymmetric,0.9099999999999999,-5.337407166849351
100% Corpus,10,asymmetric,symmetric,-5.930823129502814
