Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.61,0.01,-1.3707528328916918
75% Corpus,4,0.61,0.31,-1.3072262827042491
75% Corpus,4,0.61,0.61,-3.622969967436773
75% Corpus,4,0.61,0.9099999999999999,-4.5803663779390185
75% Corpus,4,0.61,symmetric,-1.308204626934717
75% Corpus,4,0.9099999999999999,0.01,-1.3136080597768376
75% Corpus,4,0.9099999999999999,0.31,-1.2517580152657426
75% Corpus,4,0.9099999999999999,0.61,-2.245752551525998
75% Corpus,4,0.9099999999999999,0.9099999999999999,-4.331606811168017
75% Corpus,4,0.9099999999999999,symmetric,-1.357906909737986
75% Corpus,4,symmetric,0.01,-1.3421937718849246
75% Corpus,4,symmetric,0.31,-1.4397740673539456
75% Corpus,4,symmetric,0.61,-4.27079170253016
75% Corpus,4,symmetric,0.9099999999999999,-4.168687195709842
75% Corpus,4,symmetric,symmetric,-1.5715423367764008
75% Corpus,4,asymmetric,0.01,-1.307864402301275
75% Corpus,4,asymmetric,0.31,-1.3025554254501943
75% Corpus,4,asymmetric,0.61,-6.589442939305377
75% Corpus,4,asymmetric,0.9099999999999999,-7.130685372895597
75% Corpus,4,asymmetric,symmetric,-1.2921272658302032
75% Corpus,5,0.01,0.01,-1.695535463696578
75% Corpus,5,0.01,0.31,-1.7355906250375974
75% Corpus,5,0.01,0.61,-4.456243661457189
75% Corpus,5,0.01,0.9099999999999999,-6.588394716642033
75% Corpus,5,0.01,symmetric,-1.91738869939104
75% Corpus,5,0.31,0.01,-1.647918258993754
75% Corpus,5,0.31,0.31,-2.0412408266772166
75% Corpus,5,0.31,0.61,-4.006661772167092
75% Corpus,5,0.31,0.9099999999999999,-6.665436099987701
75% Corpus,5,0.31,symmetric,-1.8931202855215936
75% Corpus,5,0.61,0.01,-1.4061208514071777
75% Corpus,5,0.61,0.31,-2.0845927552147523
75% Corpus,5,0.61,0.61,-3.5109065270282094
75% Corpus,5,0.61,0.9099999999999999,-3.8011184302254613
75% Corpus,5,0.61,symmetric,-1.840425752575778
75% Corpus,5,0.9099999999999999,0.01,-1.4273067148102645
